;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
74;ANN;rcp26;2031-2060;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;2.85321499230605;938.4295402398134;2.028742580787025;4.883649137206353;False
75;ANN;rcp26;2031-2060;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;4.0297373049021985;997.2937797551418;2.349637282919332;7.724385139389542;False
76;ANN;rcp26;2031-2060;KNMI;MPI-M-MPI-ESM-LR;RACMO22E;r1i1p1;v1;3.5705154979116287;1026.3867319010199;1.8184216311277055;7.743773795956856;False
77;ANN;rcp26;2031-2060;KNMI;NCC-NorESM1-M;RACMO22E;r1i1p1;v1;2.4903055616618985;986.4905522010645;1.4667509342712606;6.196760413556552;False
78;ANN;rcp26;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;4.319196526709163;1056.9438626672388;1.5846339854912799;5.482662925173587;True
79;ANN;rcp26;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;4.191641020004397;1049.956451648931;1.3768685425367835;1.8673200438081035;False
80;ANN;rcp26;2031-2060;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;1.3736040888107368;842.6508188588354;1.1738019344911095;6.175777262035914;False
81;ANN;rcp26;2031-2060;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;2.972224664761484;1078.956367875697;2.2436249725213884;6.094958785785713;True
82;ANN;rcp26;2031-2060;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;4.251626731149713;1141.2044271423833;2.2172455484721922;7.808092386651918;True
83;ANN;rcp26;2031-2060;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;3.7004066827874453;1142.7347646385374;1.3379863706309152;6.0715453607551115;True
84;ANN;rcp26;2031-2060;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;2.5592218069905925;1089.3826965841258;1.5934271268411067;4.760607237849546;False
85;ANN;rcp26;2071-2100;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;3.1672675313255922;885.2098933102718;1.5383600791382719;2.2047585049091003;True
86;ANN;rcp26;2071-2100;CLMcom;MIROC-MIROC5;CCLM4-8-17;r1i1p1;v1;3.28809078918448;875.5087279047016;;;False
87;ANN;rcp26;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;2.2347974829633017;876.6348760189343;1.5875618267751292;7.527295377783001;False
88;ANN;rcp26;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;3.435623213893166;991.8829140728137;1.5082985271487814;3.0096786677996317;False
89;ANN;rcp26;2071-2100;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;3.771054077819315;1144.9855102683507;1.8819520773796512;5.7502475904742205;True
90;ANN;rcp26;2071-2100;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;5.5806001318971425;1191.7744110956064;2.676824576830086;4.753161262935083;False
91;ANN;rcp26;2071-2100;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;4.063068806331103;1057.1856526836875;;;False
92;ANN;rcp26;2071-2100;GERICS;IPSL-IPSL-CM5A-LR;REMO2015;r1i1p1;v1;1.243850296768528;993.8199219087318;3.806276104638357;14.785628363595109;False
93;ANN;rcp26;2071-2100;GERICS;MIROC-MIROC5;REMO2015;r1i1p1;v1;3.583732688503005;1023.1079393650153;;;False
94;ANN;rcp26;2071-2100;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;5.976950978236971;1112.2710832844043;;;False
95;ANN;rcp26;2071-2100;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;4.295372609364733;1141.2211736078236;1.7468674433941942;5.677930683669356;False
