;Årstid;Eksperiment;Periode;Institutt;Modell;Modell Id;Ensemble;RCM Ver;TAS celsius;PR mm.år;TAS endring;PR endring;Referansemodell
72;ANN;historical;1971-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;0.33600139405206164;1324.8805458965576;0.0;0.0;True
73;ANN;historical;1971-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r2i1p1;v1;-0.04236756505571293;1350.1904060794075;0.0;0.0;False
74;ANN;historical;1971-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r3i1p1;v1;0.006830855018620241;1330.8133450305595;0.0;0.0;False
75;ANN;historical;1971-2000;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;-1.1782295539033498;1280.575589375868;0.0;0.0;False
76;ANN;historical;1971-2000;UHOH;ICHEC-EC-EARTH;WRF361H;r12i1p1;v1;-0.7952137546467952;1212.9795260948983;0.0;0.0;False
77;ANN;historical;1971-2000;UHOH;MOHC-HadGEM2-ES;WRF361H;r1i1p1;v1;0.2066449814126372;1248.8129729481213;0.0;0.0;False
78;ANN;historical;1971-2000;UHOH;MPI-M-MPI-ESM-LR;WRF361H;r1i1p1;v1;0.701184944237923;1263.503973798127;0.0;0.0;False
79;ANN;historical;1985-2014;CLMcom-ETH;CNRM-CERFACS-CNRM-CM5;COSMO-crCLIM-v1-1;r1i1p1;v1;0.4182504646840357;1035.5074241203445;0.34787407063197406;0.6672333602447089;False
80;ANN;historical;1985-2014;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r12i1p1;v1;0.272484897769516;1135.1514847859132;0.3154914033456748;-0.487559120278754;False
81;ANN;historical;1985-2014;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r1i1p1;v1;0.7076905204461355;1174.0935300251808;0.3129356412639481;0.24436786001068883;False
