;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
168;MAM;rcp26;2071-2100;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;2.181435873605949;1275.614418438376;2.334311105947961;3.8716987074408977;False
169;MAM;rcp26;2071-2100;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;1.008921933085503;1050.58312112237;;;False
170;MAM;rcp26;2071-2100;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;1.6800999070632088;1202.9120900733985;1.3546410315984758;11.55731536559984;False
171;MAM;rcp26;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;2.247595260223079;1053.2659424835865;1.8385223048327362;4.368915956868405;True
172;MAM;rcp26;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;1.8531075743494512;1017.2324448907021;1.4283515334572598;-1.6398394104476233;False
173;MAM;rcp26;2071-2100;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;-6.021631040892146;653.7830252920495;1.6251161710037536;7.825323014736938;False
174;MAM;rcp26;2071-2100;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-1.8138592007434795;1001.4349919158728;1.9897769516728658;2.0886273542765057;True
175;MAM;rcp26;2071-2100;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;0.25944470260225216;1115.3030862761696;2.471073420074333;5.004463816852978;True
176;MAM;rcp26;2071-2100;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;-0.001359200743479505;1062.9639784227295;1.4787407063196838;0.19524183757193914;True
177;MAM;rcp26;2071-2100;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;-1.3653229553902975;1078.1018430221702;1.5611640334572598;10.053365323380609;False
178;MAM;rcp45;2031-2060;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;-0.1129995353159643;917.84808963648;2.0122560408921686;1.0815823452609428;True
179;MAM;rcp45;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-2.2539874789439978;817.8967418571498;2.3722265080448324;10.283413937355723;False
