;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
64;ANN;rcp26;2041-2070;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;0.9935292750929534;1377.3171115652779;2.4047978624535062;8.317191764925944;True
65;ANN;rcp26;2041-2070;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;2.229124070631997;1413.8073060952377;2.236437035315987;6.866353993332236;True
66;ANN;rcp26;2041-2070;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;1.5386617100372177;1396.1972688653657;1.202660315985156;5.3828794746584;True
67;ANN;rcp26;2041-2070;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;0.5962244423791958;1348.0466619161646;1.7744539962825456;5.268808268723975;False
68;ANN;rcp26;2071-2100;CLMcom-BTU;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;2.2194237918216118;1247.3849755874576;;;True
69;ANN;rcp26;2071-2100;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;1.290346189591105;1147.9936278442467;1.5902648698884718;1.6397844781721236;True
70;ANN;rcp26;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;3.699180994423841;989.0369811659631;1.3285606412639481;2.533381857046922;False
71;ANN;rcp26;2071-2100;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;1.940322955390343;1473.034671148403;1.6657179368029347;6.076126244498399;True
72;ANN;rcp26;2071-2100;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;3.7301405669145424;1501.5609670084207;2.6478566449814593;4.573320917412578;False
73;ANN;rcp26;2071-2100;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;2.674697955390343;1314.7436220157324;1.7657411710036968;2.885893117704398;False
74;ANN;rcp26;2071-2100;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;4.594017193308559;1332.335740992571;2.6083294609665018;3.239839488753496;False
75;ANN;rcp26;2071-2100;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.9230134758364557;1384.9341172267955;1.609462128252801;3.3661407948290853;False
76;ANN;rcp26;2071-2100;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;-0.21328415427507252;1053.272934972575;1.579925650557641;4.760857389445062;False
77;ANN;rcp26;2071-2100;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;0.1633131970260706;1153.4554172902745;1.7803787174721606;2.1602746051757205;False
78;ANN;rcp26;2071-2100;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;2.151696096654291;1211.4696947615387;2.757376858736052;5.8628561281101605;False
79;ANN;rcp26;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;3.082371050185884;1302.1117999152623;1.1726591542750953;4.695176513189179;True
80;ANN;rcp26;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;2.992512778810408;1273.9345822164782;1.191536942379173;-1.3212639706351605;False
81;ANN;rcp26;2071-2100;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;0.5067727695167719;1334.7343832309805;1.9180413568773247;4.968332223336469;True
82;ANN;rcp26;2071-2100;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;2.601510223048365;1402.5402211816117;2.608823187732355;6.014701664431782;True
83;ANN;rcp26;2071-2100;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;1.549785083643144;1412.3291594776078;1.2137836895910823;6.600490425487604;True
84;ANN;rcp26;2071-2100;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;0.4454925650557584;1326.4884905910403;1.6237221189591082;3.585333157689622;False
85;ANN;rcp45;2041-2070;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;1.944447026022317;1163.4293287715504;2.244365706319684;3.006413418845575;True
86;ANN;rcp45;2041-2070;CLMcom;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;2.3010920074349883;1216.2783420329645;1.2832249070632429;4.322109884441872;True
87;ANN;rcp45;2041-2070;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;4.454844330855053;1009.8502338985085;2.08422397769516;4.691090042637201;False
88;ANN;rcp45;2041-2070;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;2.40637197955391;1499.3336407502345;2.1317669609665018;7.9699668133759864;True
89;ANN;rcp45;2041-2070;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;4.2397537174721265;1574.7123442756422;3.1574697955390434;9.66780766726226;False
90;ANN;rcp45;2041-2070;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;3.4466542750929534;1375.6303921120318;2.5376974907063072;7.650616532605385;False
91;ANN;rcp45;2041-2070;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;5.210798094795564;1427.8646126306412;3.2251103624535062;10.642166898441365;False
92;ANN;rcp45;2041-2070;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;3.319621282527919;1425.704698336612;2.0060699349442643;6.4090997160252945;False
93;ANN;rcp45;2041-2070;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;0.6323536245353125;1067.4438694540452;2.425563429368026;6.170329898417406;False
94;ANN;rcp45;2041-2070;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;0.8380343866170961;1190.391710766186;2.455099907063186;5.431681395445159;False
95;ANN;rcp45;2041-2070;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;2.754449349442382;1281.0350177539547;3.3601301115241426;11.941740157397618;False
96;ANN;rcp45;2041-2070;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;3.120562267657988;1242.4858629897403;1.210850371747199;-0.09899553224352106;True
97;ANN;rcp45;2041-2070;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;3.490160315985179;1302.5536378132365;1.6891844795539441;0.8955627581978713;False
98;ANN;rcp45;2041-2070;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;1.2150673791821873;1374.2561495104687;2.62633596654274;8.076466654425328;True
99;ANN;rcp45;2041-2070;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;3.2487279275093215;1494.417920991169;3.2560408921933117;12.959519921920585;True
100;ANN;rcp45;2041-2070;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;1.7763185408921913;1374.177046978784;1.4403171468401297;3.7208260952210446;True
101;ANN;rcp45;2041-2070;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;1.1647653345725075;1394.143225224931;2.3429948884758574;8.868483578108334;False
102;ANN;rcp45;2071-2100;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;2.569621282527919;1184.1037150430857;2.869539962825286;4.836859262698669;True
103;ANN;rcp45;2071-2100;CLMcom;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;2.861094330855053;1268.6359144276403;1.8432272304833077;8.812901368495076;True
104;ANN;rcp45;2071-2100;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;5.026870353159893;1040.2708387286245;2.65625;7.844791623837459;False
105;ANN;rcp45;2071-2100;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;2.904919842007473;1500.4788793374173;2.630314823420065;8.052437698368367;True
106;ANN;rcp45;2071-2100;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;4.864782760223079;1550.4928753444697;3.782498838289996;7.981089410304137;False
107;ANN;rcp45;2071-2100;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;3.8898756970260706;1351.7514792461377;2.9809189126394244;5.781960746224279;False
108;ANN;rcp45;2071-2100;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;5.751138475836456;1393.7662863653832;3.765450743494398;7.999960717109174;False
109;ANN;rcp45;2071-2100;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;3.7412639405204686;1436.3187503332765;2.427712592936814;7.2012916184731735;False
110;ANN;rcp45;2071-2100;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;1.2313894052044816;1093.639918358574;3.024599210037195;8.775846903870248;False
111;ANN;rcp45;2071-2100;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;1.5135978159851788;1202.380333137335;3.130663336431269;6.493500461197666;False
112;ANN;rcp45;2071-2100;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;3.4056168680297674;1266.5578341063072;4.011297630111528;10.676668471115915;False
113;ANN;rcp45;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;3.684456319702633;1301.3856736368407;1.7747444237918444;4.636792955882376;True
114;ANN;rcp45;2071-2100;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;3.7265683085502133;1284.3174450459535;1.9255924721189785;-0.5170093450983645;False
115;ANN;rcp45;2071-2100;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;1.95080738847588;1403.0610523536302;3.362075975836433;10.341788241468516;True
116;ANN;rcp45;2071-2100;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;3.907969330855053;1500.8864103362905;3.9152822955390434;13.448457749004703;True
117;ANN;rcp45;2071-2100;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;2.42127091078072;1459.2128148281663;2.0852695167286583;10.139198537382462;True
118;ANN;rcp45;2071-2100;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;1.710246282527919;1424.1801172217915;2.888475836431269;11.2140610079811;False
119;ANN;rcp85;2041-2070;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;2.6523931226765853;1191.836533803479;2.952311802973952;5.521498979463517;True
120;ANN;rcp85;2041-2070;CLMcom;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;3.221834340148746;1290.265540249618;2.2039672397770005;10.668108457020676;True
121;ANN;rcp85;2041-2070;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;4.871230250929386;1055.5005890036825;2.5006098977694933;9.423658572471753;False
122;ANN;rcp85;2041-2070;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;3.361471886617096;1504.7451716816558;3.086866868029688;8.359661808002237;True
