,Season,Experiment,Period,Institute,Model,Model Id,Ensemble,RCM Ver,TAS celsius,PR mm.day,TAS,PR,TAS variance,PR variance
64,annual,rcp26,2031-2060,KNMI,NCC-NorESM1-M,RACMO22E,r1i1p1,v1,2.490305562,2.700863935,275.6403056,3.13E-05,50.29570029,3.10E-09
65,annual,rcp26,2031-2060,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r1i1p1,v1,4.319196527,2.893754586,277.4691965,3.35E-05,51.3412048,4.09E-09
66,annual,rcp26,2031-2060,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r2i1p1,v1,4.19164102,2.874624098,277.341641,3.33E-05,49.81344458,4.11E-09
67,annual,rcp26,2031-2060,SMHI,ICHEC-EC-EARTH,RCA4,r12i1p1,v1,2.972224665,2.954021541,276.1222247,3.42E-05,49.96077778,3.39E-09
68,annual,rcp26,2031-2060,SMHI,MOHC-HadGEM2-ES,RCA4,r1i1p1,v1,4.251626731,3.124447439,277.4016267,3.62E-05,54.25861453,3.97E-09
69,annual,rcp26,2031-2060,SMHI,MPI-M-MPI-ESM-LR,RCA4,r1i1p1,v1a,3.700406683,3.128637275,276.8504067,3.62E-05,56.12425808,3.78E-09
70,annual,rcp26,2031-2060,SMHI,NCC-NorESM1-M,RCA4,r1i1p1,v1,2.559221807,2.982567273,275.7092218,3.45E-05,52.64098566,3.55E-09
71,annual,rcp26,2071-2100,CLMcom,ICHEC-EC-EARTH,CCLM4-8-17,r12i1p1,v1,3.167267531,2.423572603,276.3172675,2.81E-05,50.57283881,2.61E-09
72,annual,rcp26,2071-2100,CLMcom,MIROC-MIROC5,CCLM4-8-17,r1i1p1,v1,3.288090789,2.39701226,276.4380908,2.77E-05,71.67876869,2.79E-09
73,annual,rcp26,2071-2100,DMI,ICHEC-EC-EARTH,HIRHAM5,r3i1p1,v2,3.771054078,3.134799481,276.9210541,3.63E-05,49.52995164,4.90E-09
74,annual,rcp26,2071-2100,GERICS,ICHEC-EC-EARTH,REMO2015,r12i1p1,v1,4.063068806,2.894416571,277.2130688,3.35E-05,49.8493728,4.26E-09
75,annual,rcp26,2071-2100,GERICS,IPSL-IPSL-CM5A-LR,REMO2015,r1i1p1,v1,1.243850297,2.720930655,274.3938503,3.15E-05,84.02743048,3.71E-09
76,annual,rcp26,2071-2100,GERICS,MIROC-MIROC5,REMO2015,r1i1p1,v1,3.583732689,2.801116877,276.7337327,3.24E-05,75.99504012,4.18E-09
77,annual,rcp26,2071-2100,GERICS,MOHC-HadGEM2-ES,REMO2015,r1i1p1,v1,5.976950978,3.045232261,279.126951,3.52E-05,53.65384219,4.83E-09
78,annual,rcp26,2071-2100,GERICS,NCC-NorESM1-M,REMO2015,r1i1p1,v1,4.295372609,3.124493288,277.4453726,3.62E-05,50.4508168,4.54E-09
79,annual,rcp26,2071-2100,GERICS,NOAA-GFDL-GFDL-ESM2G,REMO2015,r1i1p1,v1,0.027016927,2.852999915,273.1770169,3.30E-05,84.98851396,3.61E-09
80,annual,rcp26,2071-2100,KNMI,CNRM-CERFACS-CNRM-CM5,RACMO22E,r1i1p1,v2,2.176033194,2.359117511,275.3260332,2.73E-05,71.26889151,2.57E-09
81,annual,rcp26,2071-2100,KNMI,ICHEC-EC-EARTH,RACMO22E,r12i1p1,v1,2.53960211,2.500789374,275.6896021,2.89E-05,52.10951583,2.86E-09
82,annual,rcp26,2071-2100,KNMI,MOHC-HadGEM2-ES,RACMO22E,r1i1p1,v2,4.4343592,2.702013847,277.5843592,3.13E-05,57.1838797,3.30E-09
83,annual,rcp26,2071-2100,KNMI,MPI-M-MPI-ESM-LR,RACMO22E,r1i1p1,v1,3.667707188,2.842457118,276.8177072,3.29E-05,51.80011404,3.26E-09
84,annual,rcp26,2071-2100,KNMI,NCC-NorESM1-M,RACMO22E,r1i1p1,v1,2.676747637,2.679363715,275.8267476,3.10E-05,54.26844499,3.02E-09
85,annual,rcp26,2071-2100,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r1i1p1,v1,4.432490657,2.935799548,277.5824907,3.40E-05,47.87595488,4.18E-09
86,annual,rcp26,2071-2100,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r2i1p1,v1,4.252451088,2.862099874,277.4024511,3.31E-05,52.76122156,4.12E-09
87,annual,rcp26,2071-2100,SMHI,ICHEC-EC-EARTH,RCA4,r12i1p1,v1,2.603297428,2.873035786,275.7532974,3.33E-05,53.7984138,3.38E-09
88,annual,rcp26,2071-2100,SMHI,MOHC-HadGEM2-ES,RCA4,r1i1p1,v1,4.618520554,3.071995247,277.7685206,3.56E-05,52.83947708,3.86E-09
89,annual,rcp26,2071-2100,SMHI,MPI-M-MPI-ESM-LR,RCA4,r1i1p1,v1a,3.683617279,3.174900091,276.8336173,3.67E-05,53.59335156,3.91E-09
90,annual,rcp26,2071-2100,SMHI,NCC-NorESM1-M,RCA4,r1i1p1,v1,2.641190372,2.994355927,275.7911904,3.47E-05,57.17807485,3.63E-09
91,annual,rcp45,2031-2060,CLMcom,CNRM-CERFACS-CNRM-CM5,CCLM4-8-17,r1i1p1,v1,3.205572653,2.142408985,276.3555727,2.48E-05,66.18058227,2.26E-09
92,annual,rcp45,2031-2060,CLMcom,ICHEC-EC-EARTH,CCLM4-8-17,r12i1p1,v1,3.612640141,2.46129754,276.7626401,2.85E-05,49.71041026,2.58E-09
93,annual,rcp45,2031-2060,CLMcom,MOHC-HadGEM2-ES,CCLM4-8-17,r1i1p1,v1,5.186832271,2.5211677,278.3368323,2.92E-05,50.80965253,2.94E-09
94,annual,rcp45,2031-2060,CLMcom,MPI-M-MPI-ESM-LR,CCLM4-8-17,r1i1p1,v1,4.021631128,2.682024674,277.1716311,3.10E-05,52.4214903,3.01E-09
95,annual,rcp45,2031-2060,DMI,ICHEC-EC-EARTH,HIRHAM5,r3i1p1,v2,4.006682787,3.208110285,277.1566828,3.71E-05,47.55385456,5.08E-09
96,annual,rcp45,2031-2060,DMI,MOHC-HadGEM2-ES,HIRHAM5,r1i1p1,v2,5.61571774,3.335108383,278.7657177,3.86E-05,46.53475695,5.57E-09
97,annual,rcp45,2031-2060,DMI,NCC-NorESM1-M,HIRHAM5,r1i1p1,v3,4.106429985,3.403896236,277.25643,3.94E-05,43.6454681,5.44E-09
98,annual,rcp45,2031-2060,GERICS,ICHEC-EC-EARTH,REMO2015,r1i1p1,v1,4.652786327,3.088311663,277.8027863,3.57E-05,47.6536361,4.62E-09
99,annual,rcp45,2031-2060,GERICS,MOHC-HadGEM2-ES,REMO2015,r1i1p1,v1,6.144954935,3.195693609,279.2949549,3.70E-05,47.16734104,5.14E-09
100,annual,rcp45,2031-2060,GERICS,NCC-NorESM1-M,REMO2015,r1i1p1,v1,4.568097384,3.154938937,277.7180974,3.65E-05,47.28331089,4.75E-09
101,annual,rcp45,2031-2060,IPSL,IPSL-IPSL-CM5A-MR,WRF381P,r1i1p1,v1,3.014816443,2.390180711,276.1648164,2.77E-05,72.78184079,2.53E-09
102,annual,rcp45,2031-2060,KNMI,CNRM-CERFACS-CNRM-CM5,RACMO22E,r1i1p1,v2,2.665014289,2.395345835,275.8150143,2.77E-05,70.3789157,2.65E-09
103,annual,rcp45,2031-2060,KNMI,ICHEC-EC-EARTH,RACMO22E,r12i1p1,v1,2.974285557,2.570801291,276.1242856,2.98E-05,51.1429435,2.91E-09
104,annual,rcp45,2031-2060,KNMI,ICHEC-EC-EARTH,RACMO22E,r1i1p1,v1,2.871625632,2.57692444,276.0216256,2.98E-05,52.36516267,2.97E-09
105,annual,rcp45,2031-2060,KNMI,MOHC-HadGEM2-ES,RACMO22E,r1i1p1,v2,4.552214772,2.765327235,277.7022148,3.20E-05,52.95193999,3.42E-09
106,annual,rcp45,2031-2060,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r1i1p1,v1,4.28597494,2.83178215,277.4359749,3.28E-05,51.86503902,3.90E-09
107,annual,rcp45,2031-2060,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r2i1p1,v1,4.571394812,2.914889426,277.7213948,3.37E-05,49.4360299,4.15E-09
108,annual,rcp45,2031-2060,SMHI,CNRM-CERFACS-CNRM-CM5,RCA4,r1i1p1,v1,2.640283579,2.745270986,275.7902836,3.18E-05,69.93896323,3.33E-09
109,annual,rcp45,2031-2060,SMHI,ICHEC-EC-EARTH,RCA4,r12i1p1,v1,3.037678611,2.966573501,276.1876786,3.43E-05,51.39550932,3.43E-09
110,annual,rcp45,2031-2060,SMHI,IPSL-IPSL-CM5A-MR,RCA4,r1i1p1,v1,2.531660805,2.905018803,275.6816608,3.36E-05,62.15145499,3.45E-09
111,annual,rcp45,2031-2060,SMHI,MOHC-HadGEM2-ES,RCA4,r1i1p1,v1,4.821971862,3.186166855,277.9719719,3.69E-05,47.11408414,4.06E-09
112,annual,rcp45,2031-2060,SMHI,MPI-M-MPI-ESM-LR,RCA4,r1i1p1,v1a,3.728984392,3.081110772,276.8789844,3.57E-05,56.57399291,3.67E-09
113,annual,rcp45,2031-2060,SMHI,NCC-NorESM1-M,RCA4,r1i1p1,v1,3.111211255,3.015898599,276.2612113,3.49E-05,51.23994284,3.56E-09
114,annual,rcp45,2071-2100,CLMcom,CNRM-CERFACS-CNRM-CM5,CCLM4-8-17,r1i1p1,v1,4.202302704,2.21548375,277.3523027,2.56E-05,62.50831227,2.41E-09
115,annual,rcp45,2071-2100,CLMcom,ICHEC-EC-EARTH,CCLM4-8-17,r12i1p1,v1,4.453649154,2.535470142,277.6036492,2.93E-05,46.9864462,2.87E-09
116,annual,rcp45,2071-2100,CLMcom,MOHC-HadGEM2-ES,CCLM4-8-17,r1i1p1,v1,6.224010772,2.585983077,279.3740108,2.99E-05,51.94752281,3.22E-09
117,annual,rcp45,2071-2100,CLMcom,MPI-M-MPI-ESM-LR,CCLM4-8-17,r1i1p1,v1,4.69815344,2.793123246,277.8481534,3.23E-05,47.49967369,3.20E-09
118,annual,rcp45,2071-2100,DMI,ICHEC-EC-EARTH,HIRHAM5,r3i1p1,v2,4.763387558,3.193494539,277.9133876,3.70E-05,47.37112552,5.20E-09
119,annual,rcp45,2071-2100,DMI,MOHC-HadGEM2-ES,HIRHAM5,r1i1p1,v2,6.70084634,3.400543009,279.8508463,3.94E-05,47.63471367,5.89E-09
120,annual,rcp45,2071-2100,DMI,NCC-NorESM1-M,HIRHAM5,r1i1p1,v3,4.752863267,3.54123364,277.9028633,4.10E-05,41.7726389,5.79E-09
121,annual,rcp45,2071-2100,GERICS,ICHEC-EC-EARTH,REMO2015,r1i1p1,v1,5.314992306,3.00782459,278.4649923,3.48E-05,47.17809546,4.53E-09
122,annual,rcp45,2071-2100,GERICS,MOHC-HadGEM2-ES,REMO2015,r1i1p1,v1,7.147702792,3.210481714,280.2977028,3.72E-05,47.902245,5.41E-09
123,annual,rcp45,2071-2100,GERICS,NCC-NorESM1-M,REMO2015,r1i1p1,v1,5.215904594,3.268662807,278.3659046,3.78E-05,44.79180864,4.98E-09
124,annual,rcp45,2071-2100,IPSL,IPSL-IPSL-CM5A-MR,WRF381P,r1i1p1,v1,4.093212794,2.557621874,277.2432128,2.96E-05,71.93383161,2.82E-09
125,annual,rcp45,2071-2100,KNMI,CNRM-CERFACS-CNRM-CM5,RACMO22E,r1i1p1,v2,3.661332161,2.479177078,276.8113322,2.87E-05,66.01771681,2.83E-09
126,annual,rcp45,2071-2100,KNMI,ICHEC-EC-EARTH,RACMO22E,r12i1p1,v1,3.903748077,2.626345482,277.0537481,3.04E-05,49.66112745,3.09E-09
